OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
481,0,19,6905bdc9-c0ff-4c05-ac78-81e1d693fe66,0,6,13,43,EASTHAMPTON ROAD WEST,RAMP-RT 91 NB TO RT 141 WB,SR141 WB,R15539,INTERSTATE 91,EASTHAMPTON ROAD WEST,I91 NB,SR141 WB,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{9489B236-B819-4851-97AA-255802860285},,,,,321.44453, ,Y,PVPC,321.444559
482,0,20,c5b374a1-3e14-40cb-9c57-6a37f05ddf5e,0,10,10,60,EAST FALMOUTH HIGHWAY, ,SR28 NB, ,EAST FALMOUTH HIGHWAY, ,SR28 NB, ,CAPE COD COMMISSION,FALMOUTH,5,{0652F7AA-8E19-436C-8797-38EC12397DCC},,,,,283.290153, ,Y,CCC,283.290206
483,0,18,9e28bc08-fce6-4da2-a3dd-120a436b35f1,0,8,10,50,SPRING STREET,SUMMER STREET,L118671,N2489,SUMMER STREET,SPRING STREET,N2489,L118671,METROPOLITAN AREA PLANNING COUNCIL,WATERTOWN,6,{D3ED548D-FB88-4B40-AF27-C7BEFC7C4405},,,,,156.880232, ,Y,MAPC,156.880277
484,0,19,12e19b3d-1c0f-46f2-9566-c8b4f6347ca7,0,8,11,51,LYNN FELLS PARKWAY,POND STREET,N1285 NB, ,LYNN FELLS PARKWAY,POND STREET,N1285 NB, ,METROPOLITAN AREA PLANNING COUNCIL,STONEHAM,4,{96E17AB6-5E6C-4071-B9C9-750341B125EF},,,,,156.880245, ,Y,MAPC,156.880277
485,0,101,dbd22f75-1ed2-4866-9a61-a3d3a653750d,0,9,92,137,WORCESTER STREET,NORTH MAIN STREET,SR9 EB,SR27 NB,WORCESTER STREET,NORTH MAIN STREET,SR9 EB,SR27 NB,METROPOLITAN AREA PLANNING COUNCIL,NATICK,3,{422F3C6B-1266-487C-A592-64578315D5BA},,,,,377.306608,"N, HIGHWAY",Y,MAPC,377.306546
486,0,21,db1e2da3-b5eb-4e49-afa8-6ed255416db0,0,9,12,57,INTERSTATE 495,RAMP-RT 495 SB TO RT 28,I495 NB,R13042,INTERSTATE 495,RAMP-RT 495 SB TO RT 28,I495 NB,R13042,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MIDDLEBOROUGH,5,{B3FBA3BB-D5C7-455E-A21C-53716A90A67D},,,,,161.82411, ,Y,SRPEDD,161.82408
487,0,26,bb4eee92-5ad1-45ac-b6fc-8d7f3e0497fe,0,6,20,50,MASSACHUSETTS AVENUE,CHICKERING ROAD,N4228,SR125 NB,CHICKERING ROAD,MASSACHUSETTS AVENUE,SR125 NB,N4228,MERRIMACK VALLEY PLANNING COMMISSION,NORTH ANDOVER,4,{AAD7DA35-CF8E-496D-8F78-2184B2CF0D29},,,,,207.049406, ,Y,MVPC,207.049386
488,0,16,a7a4678f-ce3d-421d-97fc-10f9f9fa7d83,0,8,8,48,DICKINSON STREET,OAKLAND STREET,N4857,N4860,DICKINSON STREET,OAKLAND STREET,N4857,N4860,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{B93041C5-0189-4B9A-B983-A1780265EA21},,,,,163.678827, ,Y,PVPC,163.678804
489,0,35,bad76879-ed4d-423a-b6df-74d0eca56cd8,0,16,19,99,GALEN STREET, ,N081 EB,B1,GALEN STREET,WATERTOWN STREET,N081 EB,SR16 EB,METROPOLITAN AREA PLANNING COUNCIL,WATERTOWN,6,{3627755D-01CC-4DDE-B175-68ACC1565ED4},,,,,166.9966,Y,Y,MAPC,166.996655
490,0,18,781c1623-0ffc-4782-9e1f-4a974a116362,0,5,13,38,GREENFIELD ROAD,CONWAY ROAD,US5 NB,SR116 NB,GREENFIELD ROAD,CONWAY ROAD,US5 NB,SR116 NB,FRANKLIN REGIONAL COUNCIL OF GOVERNMENTS,DEERFIELD,2,{2782829E-A85A-4980-8EC3-C9B5CA6FBA6E},,,,,200.702302, ,Y,FRCOG,200.702269
491,0,25,c99ae36b-7538-4bdf-b0bd-b2a950508011,0,7,18,53,JOHN F KENNEDY MEMORIAL HIGHWAY,POTOMSKA STREET,N100 EB,N5492,JOHN F KENNEDY MEMORIAL HIGHWAY,POTOMSKA STREET,N100 EB,N5492,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{B42F1699-8C6B-4560-8CC0-8E08513EEB85},,,,,189.088239, ,Y,SRPEDD,189.08818
492,0,44,7bbf1b3d-c13e-46b2-981a-d24905710832,0,10,34,84,MASSACHUSETTS TURNPIKE, ,I90 EB, ,MASSACHUSETTS TURNPIKE, ,I90 EB, ,METROPOLITAN AREA PLANNING COUNCIL,NEWTON,6,{86AD4F9E-AE0D-4839-BCEF-292C27C259D9},,,,,187.606554, ,Y,MAPC,187.606542
493,0,16,1bb40e53-b562-49db-9f34-31be5da7ac23,1,6,9,49,SAINT JAMES AVENUE,PAGE BOULEVARD,N4920,N4916,SAINT JAMES AVENUE,PAGE BOULEVARD,N4920,N4916,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{C65027AE-E247-40A1-A904-3FBE84DFBC2A},,,,,218.668764, ,Y,PVPC,218.668802
494,0,16,6a09b3db-b5ad-452f-99ab-5ba582a54963,0,6,10,40,INTERSTATE 495,RAMP-RT 495 NB TO RT 62,I495 NB,R13106,INTERSTATE 495,RAMP-RT 495 NB TO RT 62,I495 NB,R13106,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,BERLIN,3,{445C7DA1-A3A6-4A40-B77B-0B1B46964F68},,,,,162.600732, ,Y,CMRPC,162.60068
495,0,26,e81546a9-c433-4885-966f-193fe146a660,0,8,18,58,HIGH STREET,SARGEANT STREET,N026 NB,N4912,HIGH STREET,SARGEANT STREET,N026 NB,N4912,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{0548CDC4-7F72-4153-8523-5B291D6DA513},,,,,315.091602, ,Y,PVPC,315.091424
496,0,50,295a0270-dc71-4e9b-970d-25adbefad155,0,11,39,94,INTERSTATE 91,WEST COLUMBUS AVENUE,I91 NB, ,INTERSTATE 91,WEST COLUMBUS AVENUE,I91 NB, ,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{16D964F0-D7B3-4091-8590-06D4B36ABA50},,,,,196.29583, ,Y,PVPC,196.295885
497,0,25,d4d9105c-80cf-4d62-8f34-ae8d094b7794,0,6,19,49,ALLEN STREET,COUNTY STREET,N5281,N5297,ALLEN STREET,COUNTY STREET,N5281,N5297,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{B9D67A57-9602-4641-853E-01AAF0AE6A09},,,,,269.212623, ,Y,SRPEDD,269.21264
498,0,28,79164171-c80d-46af-83a6-95a38ba115c3,0,6,22,52,HUTTLESTON AVENUE,MAIN STREET,US6 EB,N5331,HUTTLESTON AVENUE,MAIN STREET,US6 EB,N5331,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FAIRHAVEN,5,{B2B53DFD-E0A6-4BD9-99F7-B0B1E2F24EEE},,,,,184.750025, ,Y,SRPEDD,184.750082
499,0,49,58dc7339-07ed-45f7-bddf-f2cae89c20c0,0,5,44,69,MIDDLESEX ROAD, ,N4442, ,MIDDLESEX ROAD, ,N4442, ,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,TYNGSBOROUGH,4,{F552B712-6F8D-454B-978E-FA4DB48ABF93},,,,,158.003388, ,Y,NMCOG,158.003358
500,0,23,e84eaba0-7fb3-40bd-b697-7b6535934eb0,0,5,18,43,MACY STREET, ,SR110 EB, ,MACY STREET, ,SR110 EB, ,MERRIMACK VALLEY PLANNING COMMISSION,AMESBURY,4,{7583D19F-D90D-4FE3-8D44-75E2C2DE2DE5},,,,,204.177388, ,Y,MVPC,204.177399
501,0,32,6ea4a7dc-594a-4948-911b-d7af23b8fa60,0,10,22,72,BROADWAY,WEBSTER AVENUE,N350,N2319,BROADWAY,WEBSTER AVENUE,N350,N2319,METROPOLITAN AREA PLANNING COUNCIL,CHELSEA,6,{92CB1507-27C9-457E-99D9-316E2D442C2F},,,,,370.757859, ,Y,MAPC,370.757812
502,0,28,41d0df52-1e7b-4805-87f5-3d74e3daf959,0,15,13,88,LIBERTY STREET,GENESEE STREET,N4902,L183828,LIBERTY STREET,GENESEE STREET,N4902,L183828,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{7CB509B5-5B90-4AD1-9E21-74D80A0DC6A3},,,,,156.880245, ,Y,PVPC,156.880277
503,0,17,61051be9-ad36-4294-9934-47b6b59799e4,0,9,8,53,WINTHROP AVENUE, ,SR114 EB, ,WINTHROP AVENUE, ,SR114 EB, ,MERRIMACK VALLEY PLANNING COMMISSION,LAWRENCE,4,{A3E04D66-2906-49AB-A24D-69FA524E84C1},,,,,220.532624, ,Y,MVPC,220.5327
504,0,71,ba06f6b0-17ec-421e-b971-596406717562,1,17,53,148,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO RT 135,I95 NB,R12569,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO RT 135,I95 NB,R12569,METROPOLITAN AREA PLANNING COUNCIL,DEDHAM,6,{39A1D443-1FFF-433D-8A8B-1E4DB1B3C884},,,,,287.107516,"N, RAMP",Y,MAPC,287.107543
505,0,79,48ec7b45-6fab-4ab4-8608-faf991ac2756,0,7,72,107,HONORABLE THOMAS S BURGIN PARKWAY,ACCESS ROAD,N109 NB,L144801,HONORABLE THOMAS S BURGIN PARKWAY,ACCESS ROAD,N109 NB,L144801,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{325FFFAA-E9AF-431F-A3E2-CFAABBDCF6DF},,,,,296.573242,Y,Y,MAPC,296.573338
506,0,31,986b7c51-c8f6-41fa-9d99-523935462799,0,2,29,39,MASSACHUSETTS TURNPIKE, ,I90 EB, ,MASSACHUSETTS TURNPIKE, ,I90 EB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WESTBOROUGH,3,{F5C825E2-A6DE-4316-9B1D-8D6000F83D08},,,,,205.843092, ,Y,CMRPC,205.843142
507,0,23,1f68e441-4719-46f6-a2e7-6fbe142ccaf0,0,5,18,43,PILGRIM HIGHWAY,RAMP-RT 6 WB TO RT 6 WB (SCENIC HWY),SR3 NB,US6 WB,PILGRIM HIGHWAY,RAMP-RT 6 WB TO RT 6 WB (SCENIC HWY),SR3 NB,US6 WB,CAPE COD COMMISSION,BOURNE,5,{F7ED41C3-6145-4307-8520-3A2D49972C99},,,,,188.191921, ,Y,CCC,188.191914
508,0,20,ea3fe45c-4fc3-49e5-ba99-8cb1095e4c17,0,6,14,44,PARADISE ROAD,ELMWOOD ROAD,SR1A NB,L156151,PARADISE ROAD,ELMWOOD ROAD,SR1A NB,L156151,METROPOLITAN AREA PLANNING COUNCIL,SWAMPSCOTT,4,{BFB0078B-8E36-44F4-A29F-83A344540F8A},,,,,205.868027, ,Y,MAPC,205.868053
509,0,17,b29109ca-a558-4a01-ab42-600bd26a574f,1,5,11,46,CENTER STREET,MILLER STREET,SR21 NB,L186170,CENTER STREET,MILLER STREET,SR21 NB,L186170,PIONEER VALLEY PLANNING COMMISSION,LUDLOW,2,{5C39A577-AC1C-4CCD-B03F-9813C491E6D6},,,,,156.880326, ,Y,PVPC,156.880374
510,0,47,c3d0def4-5e1a-4367-ab7e-93407f21ba1a,0,6,41,71,MAIN STREET,RICHMOND STREET,SR38 NB,SR129 EB,MAIN STREET,RICHMOND STREET,SR38 NB,SR129 EB,METROPOLITAN AREA PLANNING COUNCIL,WILMINGTON,4,{63246569-59EA-4921-B12C-975680CF5AAA},,,,,247.068022, ,Y,MAPC,247.0681
511,0,19,6682b52d-0eb2-4654-9c2a-40aa8966d30f,0,7,12,47,PARKER STREET,STEVENS STREET,N4506,N4404,STEVENS STREET,PARKER STREET,N4404,N4506,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{3DA864CB-900C-41C4-BB42-F915FF628A1E},,,,,156.88033, ,Y,NMCOG,156.880307
512,0,45,6116820a-e8eb-47fb-9fdf-f1abd2462bcb,0,12,33,93,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 SB/128 SB TO RT 1,I95 NB,R12722,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 SB/128 SB TO RT 1,I95 NB,R12722,METROPOLITAN AREA PLANNING COUNCIL,PEABODY,4,{635A5FEC-64F9-4FB5-BC27-A8F9CB1C6278},,,,,196.753093, ,Y,MAPC,196.753077
513,0,29,e09ce7f5-da52-462e-84d4-9c7b73728303,0,5,24,49,SANDWICH ROAD, ,SR6A EB,L096580,SANDWICH ROAD,ADAMS STREET,SR6A EB,N3264,CAPE COD COMMISSION,BOURNE,5,{FA87D5C8-864F-46D8-AE4C-E7505BDEE93B},,,,,199.964523, ,Y,CCC,199.964529
514,0,24,b8ee1634-b08b-4a98-a166-5088c279bb4d,0,5,19,44,NESMITH STREET,STACKPOLE STREET,SR38 NB,N4526,NESMITH STREET,STACKPOLE STREET,SR38 NB,N4526,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{E30574B0-787C-4D04-8AF2-EB5845AB249D},,,,,156.880372, ,Y,NMCOG,156.880346
515,0,69,06727b95-6371-4d6f-90fd-3fa2ac050100,0,18,51,141,BROADWAY,BRIDGE STREET,N019 NB,SR141 EB,BROADWAY,BRIDGE STREET,N019 NB,SR141 EB,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{FC3904F7-2A57-44F2-B8B9-291CFF1A2589},,,,,211.542994,Y,Y,PVPC,211.542993
516,0,22,b1738539-4b8a-4036-bf2c-668b41ad713f,0,6,16,46,SOUTH MAIN STREET,DWELLY STREET,SR138 NB,L110659,SOUTH MAIN STREET,DWELLY STREET,SR138 NB,L110659,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{FC212233-7D69-4262-A475-4110E46E9AF8},,,,,229.711907, ,Y,SRPEDD,229.711973
517,0,37,3adcf90d-860e-4d85-a821-a48c89d5d422,0,14,23,93,COUNTY STREET,UNION STREET,N5297,N5291,COUNTY STREET,UNION STREET,N5297,N5291,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{6059C44D-52D4-4677-B134-2D0300BD38C4},,,,,169.505283, ,Y,SRPEDD,169.505246
518,0,18,96a1811b-efce-43ac-8798-374898b0f9b2,0,7,11,46,NORTH MAIN STREET,POND STREET,SR28 NB,N1672,NORTH MAIN STREET,POND STREET,SR28 NB,N1672,METROPOLITAN AREA PLANNING COUNCIL,RANDOLPH,6,{6E62C8AF-A2DB-4243-B264-5163EA70AABD},,,,,216.03659, ,Y,MAPC,216.036546
519,0,16,5e5a2e33-444d-41b9-8989-42be18be8f2f,0,8,8,48,CENTRE STREET,WALTER STREET,N411,N3042,CENTRE STREET,WALTER STREET,N411,N3042,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{C09DE3CA-441E-4EB4-9B7D-DB048772173C},,,,,190.439936, ,Y,MAPC,190.439949
520,0,32,f6daf320-b595-4257-afa9-e4ac5918e08c,0,4,28,48,ROUTE 240,BRIDGE STREET,SR240 NB,N5517,ROUTE 240,BRIDGE STREET,SR240 NB,N5517,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FAIRHAVEN,5,{3BD52302-A7C1-4C57-B4EE-0F6E3386F6DE},,,,,224.071028, ,Y,SRPEDD,224.070926
521,0,33,58e85865-dfe7-4665-a0a2-c30d1b39d886,0,7,26,61,WORCESTER STREET,OVERBROOK DRIVE,SR9 EB,L159710,WORCESTER STREET,OVERBROOK DRIVE,SR9 EB,L159710,METROPOLITAN AREA PLANNING COUNCIL,WELLESLEY,6,{5C215103-4736-4ADF-9756-4436E65E7165},,,,,240.357828, ,Y,MAPC,240.357877
522,0,16,41a328c8-6259-45b7-9714-046b24224e6d,0,9,7,52,TRUMAN PARKWAY,NORTH DANA AVENUE,N1625,N3022,TRUMAN PARKWAY,NORTH DANA AVENUE,N1625,N3022,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{451C9231-D3B6-48DB-83AD-8E731A5343DA},,,,,156.880395, ,Y,MAPC,156.880358
523,0,43,7c4c1745-9d38-48a1-88a4-72b3f715648b,0,5,38,63,MASSACHUSETTS TURNPIKE, ,I90 EB, ,MASSACHUSETTS TURNPIKE, ,I90 EB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,CHARLTON,3,{E84EB981-9BAB-4032-B662-F2E81AF2DDF9},,,,,157.065176, ,Y,CMRPC,157.06512
524,0,32,e1b8aadf-a563-4c36-8260-26d624495abf,1,15,16,101,INTERSTATE 195,RAMP-RT 195 EB TO RT 6,I195 EB,R14005,INTERSTATE 195,RAMP-RT 195 EB TO RT 6,I195 EB,R14005,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SWANSEA,5,{DDA331A0-C931-4543-A20C-2412E918C701},,,,,156.880317,"N, RAMP",Y,SRPEDD,156.880307
525,0,54,880b6d3f-f03b-468e-bb29-acaef39efabc,0,10,44,94,EAST WEST DENNIS ROAD,UPPER COUNTY ROAD,SR134 NB,N3210,EAST WEST DENNIS ROAD,UPPER COUNTY ROAD,SR134 NB,N3210,CAPE COD COMMISSION,DENNIS,5,{89CEF8A2-D742-497F-8F8E-554EB5B70807},,,,,301.824316, ,Y,CCC,301.82426
526,0,113,4ac92a24-3f91-4309-bf9b-29882ed7a4c1,0,21,92,197,YANKEE DIVISION HIGHWAY,CAMBRIDGE STREET,I95 NB,US3 NB,YANKEE DIVISION HIGHWAY,CAMBRIDGE STREET,I95 NB,US3 NB,METROPOLITAN AREA PLANNING COUNCIL,BURLINGTON,4,{FECEA132-5E19-43C2-A590-26DB8D2423D9},,,,,389.388977,"N, HIGHWAY",Y,MAPC,389.388972
527,0,30,47cad185-69df-4110-a17d-c40aad30077e,0,8,22,62,NORTHAMPTON STREET,SOUTH STREET,US5 NB,N4910,NORTHAMPTON STREET,SOUTH STREET,US5 NB,N4910,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{D2D949FE-064A-4E06-81AA-84006FF0A81D},,,,,334.811, ,Y,PVPC,334.810947
528,0,213,332dab9d-8969-4bc8-b60c-7c184a54049f,0,36,177,357,EAST STREET ROTARY,EAST STREET, ,N1628,EAST STREET ROTARY,EAST STREET, ,N1628,METROPOLITAN AREA PLANNING COUNCIL,WESTWOOD,6,{17CE428E-E662-4283-AEC2-643075CD75E9},,,,,268.231022,"N, ROTARY",Y,MAPC,268.23099
529,0,29,86f50265-aad7-43b8-89c8-cec2fc138380,0,7,22,57,INTERSTATE 495,RAMP-RT 495 NB TO RT 123,I495 NB,R13018,INTERSTATE 495,RAMP-RT 495 NB TO RT 123,I495 NB,R13018,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NORTON,5,{5C4C6BED-A691-4916-8EED-80E0B1D36EA4},,,,,156.880274, ,Y,SRPEDD,156.880277
530,0,21,815a6241-bf57-4974-b3fe-f095f6a9094a,0,8,13,53,INTERSTATE 93,RAMP-RT 93 SB TO RIVER RD,I93 NB,R12234,INTERSTATE 93,RAMP-RT 93 SB TO RIVER RD,I93 NB,R12234,MERRIMACK VALLEY PLANNING COMMISSION,ANDOVER,4,{DBDBDB08-FB55-4436-9BCF-838FA027760F},,,,,169.185236, ,Y,MVPC,169.185191
531,0,46,c5ad1d0b-8092-4c0a-ac57-8ae70ac39839,0,4,42,62,HIGH STREET,HARTFORD STREET,SR109 EB, ,HIGH STREET,HARTFORD STREET,SR109 EB, ,METROPOLITAN AREA PLANNING COUNCIL,WESTWOOD,6,{C32CBB20-9222-4DCA-A9EF-D9C84917933F},,,,,294.744771, ,Y,MAPC,294.74479
532,0,92,b8996b37-bf4b-437c-9a81-a926bcbdf0a9,0,24,68,188,INTERSTATE 93,RAMP-RT 93 NB TO RT 3 SB,I93 NB,R12016,INTERSTATE 93,RAMP-RT 93 NB TO RT 3 SB,I93 NB,R12016,METROPOLITAN AREA PLANNING COUNCIL,BRAINTREE,6,{410E677C-C23D-4EFA-AE75-6EC88458F2CC},,,,,488.756967,"N, RAMP",Y,MAPC,488.757049
533,0,18,dae5c39c-617a-4b21-9c71-5fd22e82507d,0,5,13,38,PITTSFIELD-LENOX ROAD,HOLMES ROAD,US7 NB,N1010 NB,PITTSFIELD-LENOX ROAD,HOLMES ROAD,US7 NB,N1010 NB,BERKSHIRE REGIONAL PLANNING COMMISSION,LENOX,1,{A1CEC2E6-C0E6-47BF-99E1-84316FA7850A},,,,,182.601227, ,Y,BRPC,182.60132
534,0,40,1f9297b2-1cf8-4212-8ab2-48d480dcbaf0,0,10,30,80,MAIN STREET,HARVARD STREET,US20 EB,L198846,MAIN STREET,HARVARD STREET,US20 EB,L198846,METROPOLITAN AREA PLANNING COUNCIL,WALTHAM,4,{4A7C6BC1-1523-453A-ABBA-75D019575607},,,,,313.944969, ,Y,MAPC,313.944981
535,0,39,7744d488-7635-40fa-bc9e-6166b7b8af54,0,17,22,107,INTERSTATE 95,RAMP-RT 95 NB TO RT 123,I95 NB,R12506,INTERSTATE 95,RAMP-RT 95 NB TO RT 123,I95 NB,R12506,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,ATTLEBORO,5,{DCDDC3C2-9D3A-4109-9E31-B2CC182A79E7},,,,,156.880286,"N, RAMP",Y,SRPEDD,156.880374
536,0,53,5f9f8507-26cc-48a1-be97-0e4ec66e6eb6,1,17,35,130,MASSACHUSETTS TURNPIKE, ,I90 EB,L034175,MASSACHUSETTS TURNPIKE, ,I90 EB,L034175,METROPOLITAN AREA PLANNING COUNCIL,HOPKINTON,3,{F6C15B2F-B96F-40D4-9EC4-0B10FDEF5938},,,,,196.826324,"N, HIGHWAY",Y,MAPC,196.82638
537,0,28,e4bab2a2-f623-472f-8586-8ae50b9b0333,0,7,21,56,LINCOLN STREET,GOLDSBERRY STREET,SR70 NB,R14552,INTERSTATE 290,LINCOLN STREET,I290 WB,SR70 NB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{C4CAB5DB-1737-4736-987C-3BF5A158CA17},,,,,296.29905, ,Y,CMRPC,296.299072
538,0,22,08748d5d-6235-4d16-977d-1568e3b43a1f,1,12,9,79,ANDOVER STREET,INTERSTATE 95,SR114 EB,I95 NB,INTERSTATE 95,ANDOVER STREET,I95 NB,SR114 EB,METROPOLITAN AREA PLANNING COUNCIL,DANVERS,4,{A4C0077A-EAD3-408B-91CD-E4371D10F10E},,,,,192.859938, ,Y,MAPC,192.859944
539,0,50,5a842e37-d0ff-4f0d-b616-313beec9b6f0,0,12,38,98,INTERSTATE 495,INTERSTATE 495 SB CD ROAD,I495 SB,R13024,INTERSTATE 495,INTERSTATE 495 SB CD ROAD,I495 SB,R13024,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{4E7AF8F6-6CEA-4804-B45F-F5B2924BEEB7},,,,,183.285969,"N, HIGHWAY",Y,SRPEDD,183.285998
540,0,15,14ac82fe-262e-4af2-960b-3bba07828a7b,0,6,9,39,WEST STREET,RANDALL ROAD,N4024,N3823,WEST STREET,RANDALL ROAD,N4024,N3823,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,BERLIN,3,{565ECA11-BCDF-49EA-B090-44C4FEB8C121},,,,,237.316359, ,Y,CMRPC,237.316406
541,0,28,c8ccb767-9e68-43cf-9977-5a99d503c300,0,8,20,60,MAIN STREET,DUDLEY STREET,SR125 NB,L151185,MAIN STREET,DUDLEY STREET,SR125 NB,L151185,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{5C70CF7F-0E13-4AA7-8534-34C3C69BE012},,,,,355.134398, ,Y,MVPC,355.134451
542,0,24,1e4eb49f-49b4-4d16-b4e2-ed39952c4d19,0,9,15,60,SILVER STREET,FEDERAL STREET,N3852,US5 NB,FEDERAL STREET,BERNARDSTON ROAD,US5 NB,US5 NB,FRANKLIN REGIONAL COUNCIL OF GOVERNMENTS,GREENFIELD,2,{BAD5B605-1FF7-4F68-9EE0-33EF9F597AB8},,,,,185.389439, ,Y,FRCOG,185.389409
543,0,20,842f5653-c264-40db-9547-bae50a57604c,0,6,14,44,INTERSTATE 391,RAMP-RT 391 NB TO RT 116 (CHICOPEE ST),I391 NB,R17003,INTERSTATE 391,RAMP-RT 391 NB TO RT 116 (CHICOPEE ST),I391 NB,R17003,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{323B3109-7550-41CF-BCCF-546BA4D9AC9F},,,,,156.880355, ,Y,PVPC,156.880337
544,0,44,5188b597-bafb-4f2c-85c8-8fc00483e5cd,0,14,30,100,SOUTH MAIN STREET,WASHINGTON STREET,N5419,L138529,SOUTH MAIN STREET,WASHINGTON STREET,N5419,L138529,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{FCC2E9E2-160C-4200-A20B-69E5D03543DB},,,,,384.112705,Y,Y,SRPEDD,384.112786
545,0,25,88980476-784f-4cc8-85d5-be84b41f8e83,0,11,14,69,MCKINSTRY AVENUE,GRATTAN STREET,N4929,SR141 EB,GRATTAN STREET,MCKINSTRY AVENUE,SR141 EB,N4929,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{4658C1BD-163B-44F1-B676-E4DF07748CAE},,,,,186.531647, ,Y,PVPC,186.531678
546,0,21,11cf50ca-ffde-40ea-bf1e-b6a0a54a2074,0,10,11,61,SOUTH MAIN STREET,SOUTH ELM STREET,SR125 NB,N4190,SOUTH MAIN STREET,SOUTH ELM STREET,SR125 NB,N4190,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{45537EEC-B3ED-4540-A7D0-5F57F25957F2},,,,,188.624098, ,Y,MVPC,188.62411
547,0,35,bf1c6f48-e255-409a-90ae-9970fd16f236,0,16,19,99,INTERSTATE 195,RAMP-RT 195 EB TO RT 114A,I195 EB,R14001,INTERSTATE 195,RAMP-RT 195 EB TO RT 114A,I195 EB,R14001,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SEEKONK,5,{6D8F8EE7-F04A-4CC0-8FB1-BBAC9F0F1E18},,,,,156.880251,"N, HIGHWAY",Y,SRPEDD,156.880316
548,0,29,b39856d3-741f-4b58-865d-b7b1fec41c79,1,6,22,62,GRAFTON STREET,CUTLER STREET,SR122 NB,L181647 NB,GRAFTON STREET,CUTLER STREET,SR122 NB,L181647 NB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{290F0F40-CBCF-496E-A9EF-862016585BB2},,,,,270.236651, ,Y,CMRPC,270.236624
